Show,Location,Date,Url,Info
Angry Horse Brewing,"Montebello, CA",10/12/2018,https://www.angryhorsebrewing.com/,
Cowboy Palace Saloon,"Chatsworth, CA",9/28/2018,http://www.thecowboypalacesaloon.com/,
Harvard and Stone,"Los Angeles, CA",8/26/2018,http://harvardandstone.com/,Sunday Night Honky Tonk with Johnny Travis Jr.
Stories Books and Café,"Los Angeles, CA",8/15/2018,https://storiesla.com/,Echo Park Rising
The Escondite,"Los Angeles, CA",7/20/2018,http://www.theescondite.com/losangeles,with Glen Livers
Harvard and Stone,"Los Angeles, CA",6/13/2018,http://harvardandstone.com/,
Grammy's House,"San Francisco, CA",5/19/2018,https://www.facebook.com/grammys.house.coop/,
The Escondite,"Los Angeles, CA",1/20/2018,http://www.theescondite.com/losangeles,
Redwood Bar,"Los Angeles, CA",10/30/2017,http://theredwoodbar.com/index.html,
Maui Sugar Mill Saloon,"Tarzana, CA",12/17/2018,https://www.facebook.com/pages/Maui-Sugar-Mill-Saloon/952741568137031,
